sep=,
"Time","thB"
1695452459449,22.2
1695454259993,22.27
1695455689337,22.49
1695456231455,22.24
1695457054655,22.03
1695458855189,21.96
1695460655697,21.97
1695462456208,21.92
1695464256724,21.95
1695466057259,21.99
1695467857780,21.92
1695469658268,21.97
1695471458859,22
1695473259393,22.02
1695475059898,22.05
1695476860471,22.14
1695478660986,22.22
1695479541653,22.43
1695479632008,22.22
1695480816726,22.46
1695482617222,22.49
1695483868558,22.7
1695485668993,22.73
1695487116647,22.73
1695487469523,22.68
1695491070761,22.56
1695492871000,22.51
1695494671757,22.49
1695496472282,22.4
1695498272821,22.48
1695500073292,22.51
1695503674301,22.52
1695505474826,22.46
1695507275335,22.4
1695507490484,22.77
1695507881969,22.56
1695509682551,22.49
1695511483113,22.46
1695513283609,22.49
1695516884656,22.43
1695518685184,22.48
1695520485764,22.55
1695522286302,22.62
1695524086682,22.56
1695525887081,22.46
1695527687809,22.4
1695529488334,22.39
1695531288888,22.35
1695533089467,22.21
1695534415605,22.42
1695534777046,22.21
1695536577557,22.24
1695538378067,22.08
1695540178592,22.14
1695541979144,22
1695543779787,21.85
1695545580296,21.89
1695545980855,22.12
1695546241896,22.35
1695547727715,22.14
1695548892221,21.9
1695550528580,21.67
1695552329044,21.62
1695555930227,21.66
1695556662532,21.87
1695558463019,21.95
1695559292762,22.17
1695561093279,22.3
1695562103680,22.51
1695563398744,22.74
1695565015003,22.95
1695566815507,23.06
1695568117082,23.28
1695569917559,23.41
1695571718170,23.53
1695573518748,23.58
1695575319309,23.5
1695577119998,23.43
1695578920517,23.25
1695582521692,23.21
1695586122905,23.15
1695587923485,23.28
1695589724030,23.25
1695591524616,23.3
1695593325106,23.32
1695595125648,23.41
1695596926330,23.4
1695598726878,23.54
1695600527400,23.44
1695602327914,23.48
1695604128625,23.47
1695605929335,23.45
1695607729774,23.43
1695611331019,23.35
1695613131635,23.3
1695614932254,23.18
1695616732776,23.22
1695618533455,23.1
1695620334129,22.98
1695622134793,22.91
1695623053047,23.13
1695624853724,23.03
1695626145224,22.8
1695627641088,22.59
1695627781640,22.8
1695627851917,22.59
1695629652495,22.46
1695631452986,22.39
1695632148685,22.18
1695632269161,22.39
1695633744964,22.18
1695635545513,22.15
1695637346216,22.06
1695639146834,22.1
1695640947470,22.06
1695641846977,22.27
1695643647533,22.4
1695644949158,22.62
1695646123821,22.83
1695647689895,23.07
1695648914776,23.32
1695650410704,23.53
1695651595301,23.75
1695652569116,23.96
1695653633297,24.19
1695653733673,23.98
1695653934448,24.21
1695653974616,24
1695654556850,24.21
1695655621023,24.44
1695656745438,24.66
1695658546047,24.75
1695659817477,24.96
1695660710996,24.74
1695660771220,24.95
1695662287185,24.71
1695664087806,24.6
1695665888444,24.56
1695667689002,24.52
1695668822918,24.31
1695670623532,24.38
1695672424106,24.43
1695676025314,24.44
1695677826038,24.47
1695679626601,24.41
1695681427187,24.36
1695683227746,24.29
1695688629394,24.31
1695689905553,24.08
1695689965786,24.31
1695690357315,24.1
1695690558096,24.31
1695690598258,24.1
1695692398854,24.13
1695694199436,24.08
1695696000070,24.01
1695697800635,23.98
1695699493074,23.77
1695699513152,23.98
1695699744060,23.7
1695699784220,23.94
1695699894661,23.73
1695703495884,23.62
1695705296440,23.51
1695707096978,23.41
1695708897532,23.29
1695709412012,23.53
1695710325618,23.32
1695712126105,23.22
1695713926798,23.1
1695714722876,22.89
1695716523489,22.85
1695718324085,22.86
1695720124712,22.71
1695721925266,22.59
1695725526367,22.66
1695727326863,22.74
1695728627455,22.95
1695730183659,23.22
1695731468665,23.43
1695732532841,23.68
1695733295837,23.89
1695734360000,24.1
1695735444217,24.34
1695736648890,24.56
1695738064507,24.8
1695739570379,25.02
1695741146584,25.25
1695742692650,25.51
1695744248669,25.75
1695746049278,25.9
1695747849801,25.92
1695749650284,25.88
1695750081415,25.66
1695750141643,25.88
1695750513119,25.67
1695752313674,25.58
1695754114179,25.63
1695755914700,25.56
1695757715263,25.59
1695759515895,25.56
1695761316464,25.51
1695763117045,25.52
1695764917577,25.49
1695766718106,25.53
1695768518908,25.49
1695772120080,25.4
1695773920708,25.33
1695775721365,25.34
1695777521916,25.26
1695778733752,25.03
1695780534451,25.11
1695782287841,24.89
1695784088502,24.83
1695785889084,24.93
1695786865970,24.71
1695788666565,24.73
1695790467176,24.56
1695792267872,24.53
1695793733179,24.31
1695795533767,24.33
1695797334366,24.26
1695798923543,24.03
1695800724121,24.06
1695800831018,23.84
1695800861140,24.07
1695801644239,23.85
1695803444869,23.75
1695805245480,23.6
1695807046128,23.55
1695810647460,23.53
1695812448052,23.6
1695813039214,23.81
1695814404640,24.04
1695815569213,24.26
1695816793996,24.51
1695817817974,24.73
1695819618629,24.78
1695820257661,25
1695821372023,25.22
1695822486355,25.45
1695824286952,25.59
1695824835556,25.81
1695826160718,26.03
1695826341437,25.82
1695826722904,26.04
1695828523490,26.2
1695830324036,26.22
1695832124654,26.11
1695833925142,26
1695835725734,25.98
1695837526237,25.95
1695839326776,25.81
1695839833995,26.03
1695840255649,25.81
1695842056084,25.9
1695843856594,25.82
1695845657080,25.73
1695847457744,25.58
1695849258302,25.49
1695851058835,25.48
1695851820686,25.27
1695853306572,25.51
1695855107127,25.43
1695856907717,25.48
1695858708201,25.49
1695860508695,25.56
1695862309292,25.55
1695864109873,25.51
1695865910462,25.38
1695867711034,25.37
1695869511651,25.2
1695871312188,25.25
1695874348964,25.02
1695876149603,25.05
1695877950186,25.03
1695879750829,24.92
1695881551394,24.77
1695883173775,24.98
1695884974346,24.84
1695886255872,24.6
1695886446598,24.83
1695886757821,24.6
1695888558492,24.51
1695890010673,24.29
1695891811233,24.26
1695893611763,24.19
1695895412364,24.16
1695897213023,24.19
1695899013613,24.22
1695899999845,24.43
1695901535885,24.66
1695902680413,24.88
1695903885074,25.1
1695904879026,25.31
1695905893031,25.53
1695906716205,25.77
1695907710073,26
1695909065419,26.23
1695909948889,26.45
1695910802278,26.67
1695912127428,26.89
1695912960738,27.1
1695914346227,27.32
1695915480677,27.56
1695916645194,27.77
1695918402071,27.99
1695920202668,27.96
1695922003253,27.86
1695923451865,27.63
1695925252493,27.62
1695927053113,27.5
1695928853734,27.56
1695929284836,27.34
1695929435420,27.56
1695930650204,27.35
1695932450846,27.44
1695934251472,27.38
1695936052008,27.4
1695937852721,27.37
1695941454008,27.31
1695943254637,27.3
1695946855933,27.25
1695948656483,27.15
1695950457033,27.01
1695952257526,27.1
1695952596578,26.89
1695954397385,26.88
1695956197997,26.83
1695957636566,26.62
1695959437193,26.63
1695961237784,26.55
1695962857124,26.33
1695964657803,26.35
1695966401194,26.14
1695968201695,26.04
1695970002257,25.92
1695971802807,25.78
1695973097331,25.55
1695974897992,25.52
1695976698634,25.48
1695977424425,25.27
1695979225073,25.3
1695981025686,25.21
1695982826288,25.22
1695984626890,25.25
1695986427489,25.36
1695988216910,25.59
1695989481906,25.81
1695990817011,26.03
1695992212563,26.25
1695993146220,26.5
1695994611909,26.76
1695995917137,26.97
1695997282525,27.19
1695998828721,27.4
1695999913044,27.62
1696001713644,27.75
1696003514237,27.79
1696003948899,28.02
1696007550213,27.94
1696009350785,27.9
1696010565014,27.68
1696012365680,27.65
1696014166282,27.6
1696015966889,27.65
1696019568074,27.63
1696021368638,27.62
1696023169241,27.69
1696024969873,27.62
1696026015963,27.41
1696027772998,27.19
1696029573562,27.27
1696031374149,27.17
1696033174780,27.23
1696036776154,27.2
1696038576769,27.08
1696042139817,26.86
1696043940490,26.98
1696044880744,26.76
1696046681389,26.79
1696048481969,26.6
1696050282543,26.63
1696050884359,26.41
1696051115296,26.62
1696052862137,26.4
1696054662758,26.35
1696055934189,26.14
1696057734779,26.04
1696059508194,25.83
1696063109226,25.77
1696064909801,25.7
1696066710322,25.63
1696068510839,25.58
1696070009115,25.81
1696071809628,25.85
1696073362164,26.08
1696075162807,26.22
1696075641138,26.44
1696077287616,26.66
1696078954196,26.89
1696080754857,26.94
1696081514399,27.15
1696082508310,27.38
1696083351690,27.59
1696085138639,27.84
1696086052199,28.06
1696087256956,27.84
1696087638458,28.05
1696089439159,28.02
1696090931537,28.25
1696092732236,28.22
1696094532894,28.06
1696096333538,27.93
1696099934628,27.87
1696101735186,27.86
1696103535790,27.81
1696105336495,27.71
1696108937754,27.56
1696112258502,27.56
1696112332497,27.49
1696112446519,27.27
1696114247193,27.25
1696116047920,27.26
1696117848550,27.32
1696119649181,27.41
1696121449854,27.37
1696123250518,27.38
1696125051141,27.47
1696126851795,27.34
1696128652444,27.38
1696130453110,27.25
1696132253798,27.17
1696134054360,27.15
1696135854933,27.13
1696137655569,27
1696139456192,26.85
1696141256819,26.88
1696142957222,26.64
1696143127909,26.85
1696143137942,26.64
1696146009248,26.42
1696147809885,26.47
1696149610619,26.4
1696151320272,26.19
1696153120883,26.18
1696154921544,26.19
1696156722210,26.15
1696158522789,26.18
1696159512608,26.4
1696161078758,26.63
1696162353757,26.85
1696163237253,27.07
1696164170904,27.32
1696165365620,27.53
1696166309305,27.75
1696167644541,27.96
1696168538142,28.17
1696169953832,28.38
1696170817210,28.61
1696171640482,28.83
1696172664558,29.11
1696172704731,28.9
1696173156547,29.14
1696174381379,29.35
1696175154439,29.58
1696175164474,29.35
1696175284951,29.56
1696177085573,29.73
1696178886182,29.74
1696180334785,29.53
1696182135521,29.39
1696183936224,29.26
1696185736941,29.11
1696187537539,29.02
1696189338269,28.98
1696191138904,28.91
1696192939581,28.83
1696193216014,28.62
1696194079371,28.38
1696194952822,28.16
1696196358409,27.94
1696224846746,27.94
1696225644409,27.08
1696226073092,26.9
1696227873751,27.03
1696229674372,26.95
1696231474989,26.82
1696233275587,26.66
1696235076208,26.55
1696236876839,26.56
1696238677454,26.42
1696240478042,26.44
1696242278760,26.4
1696244079392,26.37
1696245880020,26.52
1696247680641,26.69
1696249481292,26.83
1696250221418,27.1
1696252021960,27.25
1696253243267,27.49
1696254729103,27.71
1696256529747,27.84
1696258330426,27.96
1696260131110,28.09
1696267333744,28.04
1696268584111,27.82
1696269999730,27.6
1696273600994,27.5
1696275401668,27.41
1696277202228,27.32
1696279002914,27.22
1696280722056,27
1696282522698,26.94
1696284165750,27.17
1696285966345,27.13
1696287766978,27.19
1696289567612,27.08
1696291368264,27.15
1696293168861,27.12
1696294969455,27.13
1696296770071,27.07
1696298570634,27.16
1696299064503,26.95
1696300865156,27.03
1696302665783,26.94
1696304466465,26.8
1696306267198,26.75
1696309868460,26.67
1696311668965,26.66
1696313130095,26.93
1696313662209,26.64
1696313732493,26.85
1696314194312,26.64
1696315994929,26.6
1696317795538,26.5
1696319596204,26.41
1696320910929,26.19
1696322711555,26.15
1696324512130,26.11
1696325589229,25.86
1696325709695,26.11
1696325880357,25.9
1696329481569,25.85
1696331282275,25.95
1696333082828,25.77
1696334883398,25.81
1696336683997,25.88
1696338484611,25.82
1696340285216,25.83
1696342085831,25.85
1696343886382,25.81
1696345686902,25.83
1696349288149,25.81
1696351088677,25.89
1696352889238,25.88
1696354689821,25.85
1696356490374,25.83
1696358290961,25.75
1696360091470,25.81
1696361891987,25.89
1696363692591,25.83
1696365493106,25.77
1696367293738,25.74
1696368939274,25.95
1696370739853,25.9
1696372540437,25.89
1696374341104,25.98
1696376141692,25.9
1696377942313,25.93
1696379742915,25.81
1696381543618,25.83
1696383344226,25.75
1696385144718,25.67
1696386945339,25.75
1696388745906,25.58
1696392347026,25.49
1696453010075,26.66
1696453030150,26.9
1696453050229,27.35
1696453060265,27.56
1696453080346,27.34
1696453100418,26.97
1696453120497,26.75
1696453160638,26.5
1696453210839,26.29
1696453291147,26.08
1696453501968,26.38
1696453512008,27.19
1696453522045,27.59
1696453542125,27.26
1696453562205,27
1696453592321,26.78
1696453642513,26.56
1696453662599,26.35
1696453732867,26.08
1696453833248,25.85
1696453933662,25.59
1696454074207,25.37
1696454204738,25.14
1696454455758,24.92
1696454937674,24.7
1696456738400,24.56
1696458538992,24.65
1696462140330,24.7
1696463940983,24.74
1696465741629,24.78
1696467542287,24.68
1696469342872,24.71
1696471143513,24.66
1696622450164,24.66
1696623306825,24.88
1696625107379,24.78
1696626907861,24.84
1696628708251,24.92
1696630508823,24.81
1696634109944,24.9
1696635910488,24.85
1696637711039,24.84
1696639511545,24.81
1696641312096,24.71
1696643112716,24.6
1696644913318,24.51
1696646713835,24.52
1696647714331,24.31
1696649514883,24.28
1696651315437,24.25
1696653035119,24.03
1696654835613,24.08
1696656636160,24.01
1696658436759,23.96
1696660237285,23.89
1696661819457,23.66
1696663620028,23.5
1696665313094,23.29
1696667113655,23.21
1696668914164,23.08
1696670714706,22.91
1696673695808,22.7
1696673725928,22.91
1696673906646,22.7
1696674017058,22.91
1696674217850,22.66
1696674619412,22.88
1696676419952,22.78
1696678220490,22.71
1696678775624,22.92
1696680944071,23.13
1696682409802,23.35
1696683212928,23.59
1696683835368,23.8
1696684789121,24.01
1696686184528,24.22
1696687228548,24.44
1696687830885,24.66
1696688905088,24.88
1696690149902,25.1
1696691575409,25.36
1696693031083,25.58
1696694831594,25.64
1696696632072,25.56
1696698432629,25.38
1696699596539,25.14
1696701396994,25.11
1696703197371,25.05
1696704997922,24.99
1696706798332,24.95
1696708598732,24.92
1696710399300,24.93
1696712199866,24.83
1696714000321,24.8
1696715800886,24.84
1696717601362,24.75
1696719401937,24.74
1696721202556,24.6
1696723003066,24.58
1696724803532,24.48
1696726603942,24.38
1696728404481,24.33
1696730204988,24.13
1696732005575,24.1
1696733806117,24.04
1696735606622,24.07
1696735626261,23.85
1696737426777,23.92
1696739149923,23.7
1696740950451,23.62
1696742750909,23.54
1696744551479,23.4
1696746351976,23.29
1696748152436,23.25
1696749952962,23.22
1696751347379,22.99
1696753147861,22.93
1696754948299,22.86
1696756527463,23.07
1696756908949,23.3
1696757079588,23.53
1696757280395,23.78
1696757732148,23.55
1696758133708,23.32
1696758746120,23.11
1696760282078,22.86
1696761376327,23.07
1696762811852,23.29
1696763464392,23.5
1696764116928,23.78
1696764869875,24.01
1696765371833,24.25
1696765974161,24.51
1696766174945,24.73
1696766847568,24.95
1696767078484,24.74
1696767419823,24.95
1696767690828,25.17
1696768122523,25.43
1696768383506,25.64
1696769086197,25.89
1696769658420,26.12
1696769969616,26.35
1696770652322,26.12
1696771073960,26.33
1696771365077,26.57
1696771656188,26.78
1696772951181,27
1696773242334,27.22
1696773623823,27.45
1696773955139,27.23
1696774326566,27.01
1696776127150,26.9
1696777927652,27.01
1696779728184,27.15
1696792700100,27.15
1696792935897,26.05
1696794736242,26.03
1696795284157,26.03
1696795659209,25.82
1696797459636,25.93
1696799260159,25.86
1696801060661,25.74
1696802861119,25.63
1696806462016,25.53
1696808262471,25.43
1696810062962,25.34
1696811863456,25.26
1696813196901,25.05
1696814997399,25.03
1696816740502,24.8
1696818540993,24.83
1696820023295,24.62
1696821823848,24.55
1696823624350,24.47
1696825364119,24.26
1696827164618,24.18
1696828965175,24.04
1696830765683,23.98
1696832566206,24.06
1696834318977,23.81
1696836119606,23.77
1696837842782,23.55
1696839643225,23.5
1696840382588,23.29
1696842183087,23.17
1696843983607,23.1
1696845784189,23.11
1696847584749,23.07
1696849385236,23.03
1696851185773,23.21
1696852499813,23.43
1696853493612,23.66
1696854447333,23.91
1696855350890,24.15
1696856786504,24.36
1696857780358,24.62
1696858744125,24.83
1696860450592,25.05
1696861404179,25.26
