"Seconds since start", "emonth1:temperatureB", "emonth1:external temperatureB"
6300, 17.6, 16.1
8100, 17.5, 16.0
10800, 17.3, 15.6
12600, 17.1, 15.6
30600, 16.4, 15.6
41400, 17.4, 19.3
50400, 18.8, 19.1
54900, 18.9, 18.5
59400, 18.8, 18.5
66600, 18.7, 18.1
71100, 18.8, 18.3
84600, 18.5, 17.7
98100, 18.1, 17.5
102600, 18.0, 17.3
107100, 17.9, 17.2
111600, 17.8, 17.2
116100, 17.8, 17.7
129600, 19.4, 21.7
136800, 20.9, 23.2
141300, 21.3, 22.0
145800, 21.2, 20.8
148500, 21.0, 20.7
153000, 20.8, 20.6
155700, 20.7, 20.6
160200, 20.7, 21.0
164700, 20.7, 20.2
171900, 20.3, 20.0
183600, 19.7, 18.8
192600, 19.2, 18.0
195300, 19.1, 17.6
199800, 18.8, 17.3
208800, 18.4, 18.5
225000, 21.7, 24.3
229500, 22.3, 25.1
232200, 22.6, 24.7
234900, 22.8, 25.1
242100, 23.1, 24.7
244800, 23.0, 23.7
249300, 22.9, 22.6
252000, 22.5, 21.8
256500, 22.0, 21.2
263700, 21.2, 20.0
266400, 21.0, 19.8
270900, 20.6, 19.0
278100, 19.9, 18.0
282600, 19.4, 17.3
285300, 19.2, 17.3
294300, 18.9, 18.6
298800, 19.4, 21.2
303300, 20.8, 24.1
306000, 21.5, 25.1
313200, 22.7, 24.5
320400, 22.9, 23.1
330300, 22.2, 21.3
337500, 21.5, 20.2
340200, 21.2, 19.8
344700, 20.8, 19.3
347400, 20.6, 19.1
351900, 20.3, 19.0
356400, 20.0, 18.6
359100, 19.8, 18.7
360900, 19.8, 18.7
363600, 19.7, 18.7
372600, 19.6, 18.8
375300, 19.5, 19.1
384300, 20.3, 21.7
387000, 20.6, 21.8
391500, 20.9, 20.3
394200, 20.9, 20.1
396000, 21.0, 20.0
398700, 20.8, 19.8
403200, 20.6, 19.7
405900, 20.4, 19.7
410400, 20.4, 20.0
414900, 20.5, 19.8
417600, 20.5, 19.2
422100, 20.3, 18.8
424800, 20.1, 18.7
438300, 19.4, 18.3
441000, 19.3, 18.3
442800, 19.4, 18.3
445500, 19.3, 18.1
450000, 19.2, 17.7
454500, 19.0, 17.3
459000, 18.8, 17.2
463500, 18.6, 17.7
468000, 18.8, 18.7
470700, 19.3, 22.7
482400, 22.4, 25.8
486900, 22.9, 25.2
489600, 23.1, 25.1
492300, 23.2, 24.7
496800, 23.3, 24.5
499500, 23.3, 24.3
502200, 23.2, 23.7
506700, 22.9, 22.8
509400, 22.6, 22.0
512100, 22.3, 21.6
516600, 21.8, 20.8
519300, 21.5, 20.5
523800, 21.1, 19.6
526500, 20.8, 19.1
531000, 20.4, 18.3
542700, 19.3, 17.1
547200, 19.0, 17.5
551700, 19.1, 18.3
556200, 19.4, 20.1
563400, 21.2, 23.5
573300, 22.9, 24.3
577800, 22.8, 23.3
580500, 22.6, 23.2
585000, 22.5, 23.0
587700, 22.5, 22.6
590400, 22.5, 22.2
594900, 22.1, 21.5
602100, 21.4, 20.3
604800, 21.2, 19.8
616500, 20.2, 18.2
621000, 19.7, 17.8
623700, 19.5, 17.8
628200, 19.2, 17.5
632700, 19.0, 17.3
637200, 18.9, 18.1
639900, 19.1, 19.0
641700, 19.3, 19.5
648900, 21.1, 24.2
651600, 21.9, 25.5
656100, 22.7, 24.5
658800, 22.7, 23.7
666000, 22.3, 22.6
668700, 22.2, 22.3
673200, 22.1, 21.8
675900, 22.1, 21.5
683100, 21.4, 20.1
685800, 21.1, 19.7
690300, 20.7, 19.0
