datetime,grdpiece
2020-08-06 09:27:29,26.9
2020-08-06 09:42:29,25.8
2020-08-06 09:57:29,26.3
2020-08-06 10:12:29,25.0
2020-08-06 10:27:29,24.6
2020-08-06 10:42:29,24.8
2020-08-06 10:57:29,24.5
2020-08-06 11:12:29,24.3
2020-08-06 11:27:29,24.1
2020-08-06 11:42:29,24.0
2020-08-06 11:57:29,23.9
2020-08-06 12:12:29,23.8
2020-08-06 12:27:29,23.9
2020-08-06 12:42:29,23.8
2020-08-06 12:57:29,23.7
2020-08-06 13:12:29,23.7
2020-08-06 13:27:29,23.7
2020-08-06 13:42:29,23.7
2020-08-06 13:57:29,23.8
2020-08-06 14:12:29,23.9
2020-08-06 14:27:29,23.9
2020-08-06 14:42:29,24.0
2020-08-06 14:57:29,24.0
2020-08-06 15:12:29,24.0
2020-08-06 15:27:29,24.1
2020-08-06 15:42:29,24.7
2020-08-06 15:57:29,25.0
2020-08-06 16:12:29,25.0
2020-08-06 16:27:29,25.0
2020-08-06 16:42:29,25.1
2020-08-06 16:57:29,25.2
2020-08-06 17:12:29,25.0
2020-08-06 17:27:29,24.8
2020-08-06 17:42:29,24.8
2020-08-06 17:57:29,24.7
2020-08-06 18:12:29,24.7
2020-08-06 18:27:29,24.7
2020-08-06 18:42:29,24.8
2020-08-06 18:57:29,24.9
2020-08-06 19:12:29,25.0
2020-08-06 19:27:29,25.0
2020-08-06 19:42:29,25.0
2020-08-06 19:57:29,25.0
2020-08-06 20:12:29,25.0
2020-08-06 20:27:29,25.0
2020-08-06 20:42:29,24.9
2020-08-06 20:57:29,24.9
2020-08-06 21:12:29,24.8
2020-08-06 21:27:29,24.8
2020-08-06 21:42:29,24.8
2020-08-06 21:57:29,24.8
2020-08-06 22:12:29,24.8
2020-08-06 22:27:29,24.8
2020-08-06 22:42:29,24.8
2020-08-06 22:57:29,24.7
2020-08-06 23:12:29,24.7
2020-08-06 23:27:29,24.7
2020-08-06 23:42:29,24.6
2020-08-06 23:57:29,24.6
2020-08-07 00:12:29,24.5
2020-08-07 00:27:29,24.5
2020-08-07 00:42:29,24.4
2020-08-07 00:57:29,24.3
2020-08-07 01:12:29,24.3
2020-08-07 01:27:29,24.2
2020-08-07 01:42:29,24.2
2020-08-07 01:57:29,24.2
2020-08-07 02:12:29,24.1
2020-08-07 02:27:29,24.1
2020-08-07 02:42:29,24.0
2020-08-07 02:57:29,24.0
2020-08-07 03:12:29,24.0
2020-08-07 03:27:29,24.0
2020-08-07 03:42:29,24.0
2020-08-07 03:57:29,24.0
2020-08-07 04:12:29,23.9
2020-08-07 04:27:29,23.9
2020-08-07 04:42:29,23.9
2020-08-07 04:57:29,23.8
2020-08-07 05:12:29,23.8
2020-08-07 05:27:29,23.7
2020-08-07 05:42:29,23.7
2020-08-07 05:57:29,23.7
2020-08-07 06:12:29,23.6
2020-08-07 06:27:29,23.6
2020-08-07 06:42:29,23.6
2020-08-07 06:57:29,23.6
2020-08-07 07:12:29,23.5
2020-08-07 07:27:29,23.5
2020-08-07 07:42:29,23.5
2020-08-07 07:57:29,23.5
2020-08-07 08:12:29,23.5
2020-08-07 08:27:29,23.6
2020-08-07 08:42:29,23.8
2020-08-07 08:57:29,23.9
2020-08-07 09:12:29,24.0
2020-08-07 09:27:29,24.0
2020-08-07 09:42:29,24.1
2020-08-07 09:57:29,24.2
2020-08-07 10:12:29,24.3
2020-08-07 10:27:29,24.3
2020-08-07 10:42:29,24.4
2020-08-07 10:57:29,24.4
2020-08-07 11:12:29,24.4
2020-08-07 11:27:29,24.4
2020-08-07 11:42:29,24.4
2020-08-07 11:57:29,24.4
2020-08-07 12:12:29,24.6
2020-08-07 12:27:29,24.7
2020-08-07 12:42:29,24.8
